"Referencia";"Fecha Alta";"Tipo";"Operación";"Provincia";"Superficie";"Precio Venta";"Fecha Venta";"Vendedor"
679;08/30/2004;"Suelo";"Venta";"Tarragona";113;1074969;04/16/2005;"Joaquín"
680;08/30/2004;"Piso";"Alquiler";"Tarragona";249;1029864;05/06/2005;"Carmen"
681;08/30/2004;"Industrial";"Alquiler";"Tarragona";284;1166104;04/08/2005;"Jesús"
682;08/30/2004;"Oficina";"Venta";"Lleida";274;1577692;05/11/2005;"Joaquín"
683;08/30/2004;"Piso";"Alquiler";"Lleida";121;1049433;06/07/2005;"Jesús"
684;08/31/2004;"Parking";"Venta";"Tarragona";247;2285244;03/07/2005;"María"
685;08/31/2004;"Piso";"Venta";"Girona";97;662316;04/27/2005;"Carmen"
686;08/31/2004;"Suelo";"Alquiler";"Tarragona";57;330771;01/05/2005;"María"
687;09/01/2004;"Piso";"Alquiler";"Lleida";240;1214880;04/09/2005;"Luisa"
688;09/01/2004;"Suelo";"Venta";"Lleida";163;688838;12/13/2004;"Luisa"
689;09/02/2004;"Parking";"Venta";"Girona";64;622144;07/05/2005;"María"
690;09/02/2004;"Parking";"Alquiler";"Tarragona";81;723492;07/10/2005;"Joaquín"
691;09/02/2004;"Casa";"Alquiler";"Girona";118;827062;03/22/2005;"Joaquín"
692;09/02/2004;"Oficina";"Venta";"Lleida";177;1022883;04/29/2005;"María"
693;09/03/2004;"Suelo";"Venta";"Barcelona";269;1722407;12/21/2004;"Jesús"
694;09/03/2004;"Piso";"Alquiler";"Lleida";88;392832;01/28/2005;"María"
695;09/03/2004;"Local";"Venta";"Lleida";205;1524585;05/02/2005;"Pedro"
696;09/04/2004;"Suelo";"Alquiler";"Tarragona";256;1379328;03/27/2005;"Luisa"
697;09/04/2004;"Local";"Alquiler";"Barcelona";163;1570016;08/04/2005;"Carmen"
698;09/05/2004;"Parking";"Alquiler";"Girona";187;789140;05/16/2005;"Carmen"
699;09/05/2004;"Suelo";"Alquiler";"Girona";73;542974;06/14/2005;"Luisa"
700;09/06/2004;"Local";"Alquiler";"Girona";299;1251315;01/20/2005;"Luisa"
701;09/06/2004;"Casa";"Venta";"Girona";225;2023200;12/27/2004;"Joaquín"
702;09/07/2004;"Piso";"Alquiler";"Girona";295;2553225;01/14/2005;"Carmen"
703;09/07/2004;"Casa";"Venta";"Tarragona";160;1341120;07/25/2005;"María"
704;09/08/2004;"Piso";"Alquiler";"Barcelona";278;2540364;04/12/2005;"Carmen"
705;09/08/2004;"Oficina";"Alquiler";"Tarragona";271;1165842;02/10/2005;"Luisa"
706;09/08/2004;"Piso";"Alquiler";"Girona";258;1501560;01/05/2005;"Joaquín"
707;09/08/2004;"Industrial";"Venta";"Girona";215;1713120;05/27/2005;"Carmen"
708;09/08/2004;"Industrial";"Venta";"Tarragona";158;1124012;05/03/2005;"Pedro"
709;09/09/2004;"Casa";"Alquiler";"Tarragona";210;1181670;07/13/2005;"Jesús"
710;09/09/2004;"Parking";"Venta";"Lleida";274;1291636;05/24/2005;"María"
711;09/10/2004;"Casa";"Venta";"Tarragona";289;2114035;12/14/2004;"Luisa"
712;09/10/2004;"Parking";"Alquiler";"Lleida";244;2280668;07/16/2005;"María"
713;09/10/2004;"Casa";"Venta";"Barcelona";73;688463;08/08/2005;"Luisa"
714;09/10/2004;"Casa";"Alquiler";"Lleida";235;2135210;05/14/2005;"Pedro"
715;09/10/2004;"Oficina";"Alquiler";"Lleida";43;329681;01/19/2005;"Jesús"
716;09/10/2004;"Oficina";"Alquiler";"Barcelona";206;1793848;09/03/2005;"Luisa"
717;09/10/2004;"Local";"Alquiler";"Tarragona";47;457498;02/23/2005;"Jesús"
718;09/11/2004;"Suelo";"Alquiler";"Girona";161;736092;02/26/2005;"María"
719;09/11/2004;"Oficina";"Venta";"Tarragona";283;1565839;06/15/2005;"Pedro"
720;09/11/2004;"Casa";"Venta";"Tarragona";226;2216608;07/09/2005;"Luisa"
721;09/12/2004;"Industrial";"Venta";"Tarragona";44;266596;04/23/2005;"Luisa"
722;09/12/2004;"Industrial";"Alquiler";"Girona";86;611546;02/10/2005;"Carmen"
723;09/12/2004;"Casa";"Alquiler";"Girona";54;518508;02/16/2005;"María"
724;09/12/2004;"Oficina";"Alquiler";"Barcelona";241;2085373;07/07/2005;"Joaquín"
725;09/13/2004;"Oficina";"Alquiler";"Barcelona";180;901980;02/07/2005;"Carmen"
726;09/13/2004;"Parking";"Venta";"Girona";112;1081360;05/03/2005;"María"
727;09/15/2004;"Suelo";"Alquiler";"Girona";195;1168440;12/30/2004;"Luisa"
728;09/16/2004;"Suelo";"Venta";"Barcelona";139;585746;05/03/2005;"Pedro"
729;09/16/2004;"Casa";"Alquiler";"Lleida";197;1905187;09/15/2005;"Pedro"
730;09/16/2004;"Parking";"Alquiler";"Tarragona";284;1830664;01/02/2005;"Pedro"
731;09/16/2004;"Casa";"Venta";"Girona";109;555246;04/10/2005;"Joaquín"
732;09/16/2004;"Suelo";"Venta";"Tarragona";117;652743;12/23/2004;"Pedro"
733;09/17/2004;"Oficina";"Alquiler";"Girona";164;1225244;08/07/2005;"Jesús"
734;09/17/2004;"Piso";"Venta";"Lleida";85;644470;06/22/2005;"María"
735;09/18/2004;"Oficina";"Alquiler";"Barcelona";89;588023;06/26/2005;"Joaquín"
736;09/19/2004;"Industrial";"Venta";"Barcelona";112;840560;06/29/2005;"Pedro"
737;09/19/2004;"Suelo";"Alquiler";"Lleida";85;780980;07/20/2005;"Joaquín"
738;09/19/2004;"Suelo";"Alquiler";"Lleida";294;1201578;01/31/2005;"Luisa"
739;09/20/2004;"Piso";"Venta";"Barcelona";250;1527750;02/10/2005;"Luisa"
740;09/21/2004;"Parking";"Alquiler";"Barcelona";254;2328418;01/06/2005;"Joaquín"
741;09/21/2004;"Parking";"Venta";"Tarragona";126;1184274;07/28/2005;"María"
742;09/22/2004;"Suelo";"Venta";"Barcelona";218;1330236;12/27/2004;"Pedro"
743;09/22/2004;"Local";"Venta";"Lleida";56;542864;09/08/2005;"María"
744;09/22/2004;"Casa";"Venta";"Barcelona";99;538065;06/19/2005;"Jesús"
745;09/22/2004;"Suelo";"Venta";"Lleida";83;445295;01/30/2005;"Pedro"
746;09/22/2004;"Oficina";"Alquiler";"Tarragona";136;761056;04/11/2005;"Jesús"
747;09/22/2004;"Suelo";"Alquiler";"Barcelona";178;1355470;12/24/2004;"María"
748;09/22/2004;"Industrial";"Alquiler";"Girona";228;2145480;06/21/2005;"María"
749;09/23/2004;"Local";"Venta";"Lleida";114;679554;09/16/2005;"Pedro"
750;09/23/2004;"Parking";"Alquiler";"Girona";294;1335936;07/14/2005;"Carmen"
751;09/23/2004;"Parking";"Venta";"Girona";132;556116;09/11/2005;"Luisa"
752;09/25/2004;"Local";"Venta";"Barcelona";182;1509872;08/05/2005;"Luisa"
753;09/25/2004;"Local";"Venta";"Lleida";67;399655;08/13/2005;"Luisa"
754;09/25/2004;"Piso";"Alquiler";"Tarragona";251;1206557;05/20/2005;"María"
755;09/25/2004;"Oficina";"Venta";"Tarragona";235;2202655;04/16/2005;"Pedro"
756;09/26/2004;"Industrial";"Alquiler";"Tarragona";50;308850;08/10/2005;"Pedro"
757;09/26/2004;"Industrial";"Venta";"Barcelona";42;306726;06/16/2005;"Jesús"
758;09/26/2004;"Piso";"Venta";"Barcelona";272;1535168;07/26/2005;"Luisa"
759;09/26/2004;"Piso";"Alquiler";"Tarragona";117;823680;01/19/2005;"María"
760;09/26/2004;"Casa";"Alquiler";"Barcelona";299;1695330;07/14/2005;"Joaquín"
761;09/26/2004;"Local";"Venta";"Girona";50;411700;01/05/2005;"Carmen"
762;09/26/2004;"Parking";"Venta";"Barcelona";48;371712;08/14/2005;"María"
763;09/27/2004;"Piso";"Alquiler";"Girona";291;2411808;02/28/2005;"Joaquín"
764;09/27/2004;"Oficina";"Alquiler";"Girona";210;1122240;08/27/2005;"Pedro"
765;09/28/2004;"Local";"Alquiler";"Girona";291;2354481;01/26/2005;"Carmen"
766;09/29/2004;"Piso";"Alquiler";"Girona";204;1044480;04/17/2005;"Jesús"
767;09/29/2004;"Piso";"Alquiler";"Barcelona";95;510150;05/07/2005;"Jesús"
768;09/29/2004;"Piso";"Venta";"Girona";231;1213212;06/24/2005;"Carmen"
769;10/02/2004;"Casa";"Venta";"Barcelona";159;1162131;08/25/2005;"Pedro"
770;10/04/2004;"Oficina";"Venta";"Lleida";185;1343840;04/17/2005;"Carmen"
771;10/04/2004;"Industrial";"Venta";"Girona";44;223564;09/26/2005;"Luisa"
772;10/04/2004;"Suelo";"Venta";"Barcelona";277;1363948;01/02/2005;"Jesús"
773;10/04/2004;"Suelo";"Venta";"Lleida";59;484744;05/27/2005;"Joaquín"
774;10/05/2004;"Local";"Alquiler";"Tarragona";244;2332152;06/05/2005;"Joaquín"
775;10/05/2004;"Local";"Venta";"Lleida";204;1606500;07/25/2005;"Carmen"
776;10/05/2004;"Parking";"Venta";"Lleida";76;411160;02/15/2005;"Joaquín"
777;10/05/2004;"Suelo";"Alquiler";"Tarragona";68;611796;06/18/2005;"Luisa"
778;10/06/2004;"Local";"Alquiler";"Barcelona";228;1554732;08/17/2005;"Jesús"
779;10/06/2004;"Local";"Alquiler";"Tarragona";256;1877760;04/14/2005;"María"
780;10/06/2004;"Local";"Venta";"Tarragona";185;1607280;03/28/2005;"Carmen"
781;10/06/2004;"Suelo";"Alquiler";"Lleida";158;1217390;04/27/2005;"Luisa"
782;10/06/2004;"Suelo";"Venta";"Girona";74;299996;09/02/2005;"María"
783;10/06/2004;"Oficina";"Alquiler";"Girona";219;1455693;01/28/2005;"Joaquín"
784;10/06/2004;"Parking";"Alquiler";"Tarragona";83;778706;09/11/2005;"María"
785;10/06/2004;"Casa";"Alquiler";"Barcelona";228;1685148;10/05/2005;"Luisa"
786;10/06/2004;"Parking";"Venta";"Lleida";224;913248;07/03/2005;"Jesús"
787;10/06/2004;"Casa";"Venta";"Barcelona";279;2064879;05/07/2005;"María"
788;10/07/2004;"Casa";"Venta";"Girona";92;853852;09/25/2005;"Carmen"
789;10/07/2004;"Piso";"Venta";"Barcelona";251;1781849;07/23/2005;"Luisa"
790;10/07/2004;"Piso";"Venta";"Tarragona";108;647460;03/10/2005;"Luisa"
791;10/08/2004;"Industrial";"Venta";"Girona";113;869196;07/28/2005;"Jesús"
792;10/08/2004;"Piso";"Venta";"Tarragona";292;1565120;10/02/2005;"Joaquín"
793;10/08/2004;"Piso";"Venta";"Lleida";88;507320;09/06/2005;"María"
794;10/10/2004;"Oficina";"Venta";"Tarragona";277;1522946;03/09/2005;"Joaquín"
795;10/10/2004;"Casa";"Alquiler";"Tarragona";74;338476;05/19/2005;"Jesús"
796;10/10/2004;"Casa";"Alquiler";"Lleida";110;950290;06/08/2005;"Carmen"
797;10/11/2004;"Oficina";"Venta";"Barcelona";255;1442280;05/04/2005;"Jesús"
798;10/11/2004;"Piso";"Venta";"Girona";222;1478742;09/24/2005;"Jesús"
799;10/11/2004;"Suelo";"Alquiler";"Tarragona";278;2209822;02/27/2005;"Jesús"
800;10/12/2004;"Local";"Alquiler";"Tarragona";67;653250;02/19/2005;"María"
801;10/13/2004;"Local";"Alquiler";"Tarragona";159;1323198;08/26/2005;"Jesús"
802;10/13/2004;"Suelo";"Venta";"Lleida";114;1106028;02/27/2005;"María"
803;10/13/2004;"Local";"Alquiler";"Tarragona";163;1115409;03/14/2005;"María"
804;10/13/2004;"Industrial";"Venta";"Girona";114;580032;03/28/2005;"Jesús"
805;10/14/2004;"Piso";"Alquiler";"Barcelona";243;1469178;02/18/2005;"Pedro"
806;10/14/2004;"Oficina";"Venta";"Girona";43;415552;01/16/2005;"Luisa"
807;10/15/2004;"Suelo";"Alquiler";"Tarragona";259;1891736;07/18/2005;"María"
808;10/15/2004;"Oficina";"Alquiler";"Girona";119;630224;04/09/2005;"Joaquín"
809;10/15/2004;"Casa";"Venta";"Tarragona";222;1292484;10/01/2005;"Pedro"
810;10/15/2004;"Industrial";"Venta";"Barcelona";51;334305;09/25/2005;"Carmen"
811;10/16/2004;"Industrial";"Venta";"Lleida";214;1805518;08/30/2005;"Carmen"
812;10/16/2004;"Oficina";"Venta";"Tarragona";236;2208252;04/21/2005;"Pedro"
813;10/17/2004;"Casa";"Venta";"Girona";138;733470;04/04/2005;"Pedro"
814;10/17/2004;"Oficina";"Alquiler";"Barcelona";192;1627200;01/27/2005;"Luisa"
815;10/17/2004;"Industrial";"Venta";"Tarragona";182;1690416;09/04/2005;"Pedro"
816;10/18/2004;"Parking";"Alquiler";"Barcelona";232;2180104;07/19/2005;"Joaquín"
817;10/18/2004;"Suelo";"Alquiler";"Barcelona";158;878638;05/05/2005;"Joaquín"
818;10/18/2004;"Suelo";"Alquiler";"Tarragona";49;244608;04/21/2005;"Pedro"
819;10/19/2004;"Parking";"Venta";"Barcelona";102;562632;09/01/2005;"Luisa"
820;10/19/2004;"Piso";"Alquiler";"Tarragona";206;1688170;07/17/2005;"Jesús"
821;10/19/2004;"Parking";"Venta";"Girona";161;1392006;07/12/2005;"María"
822;10/20/2004;"Industrial";"Venta";"Tarragona";259;1628333;08/09/2005;"María"
823;10/20/2004;"Parking";"Venta";"Lleida";177;992793;03/20/2005;"Carmen"
824;10/21/2004;"Piso";"Alquiler";"Girona";60;484560;08/24/2005;"Jesús"
825;10/21/2004;"Local";"Venta";"Tarragona";172;866880;09/01/2005;"Luisa"
826;10/21/2004;"Oficina";"Alquiler";"Girona";239;1709567;06/10/2005;"Jesús"
827;10/22/2004;"Industrial";"Venta";"Tarragona";149;1391809;08/06/2005;"Pedro"
828;10/23/2004;"Industrial";"Alquiler";"Barcelona";199;1278774;04/06/2005;"Pedro"
829;10/23/2004;"Local";"Venta";"Lleida";152;1218888;03/04/2005;"Joaquín"
830;10/24/2004;"Local";"Venta";"Lleida";143;1409551;04/23/2005;"Jesús"
831;10/24/2004;"Parking";"Venta";"Girona";115;880900;07/04/2005;"Carmen"
832;10/24/2004;"Casa";"Alquiler";"Tarragona";87;574200;05/19/2005;"Carmen"
833;10/24/2004;"Oficina";"Alquiler";"Lleida";212;1968632;10/23/2005;"Pedro"
834;10/24/2004;"Casa";"Venta";"Barcelona";73;592103;03/21/2005;"Jesús"
835;10/25/2004;"Parking";"Venta";"Lleida";168;1276800;07/25/2005;"Carmen"
836;10/25/2004;"Suelo";"Venta";"Tarragona";274;2124596;02/21/2005;"Carmen"
837;10/27/2004;"Local";"Venta";"Girona";127;1021334;05/21/2005;"Joaquín"
838;10/27/2004;"Piso";"Alquiler";"Girona";62;583110;02/19/2005;"Joaquín"
839;10/27/2004;"Local";"Venta";"Lleida";109;1029178;07/13/2005;"Joaquín"
840;10/27/2004;"Parking";"Alquiler";"Girona";114;1040478;04/29/2005;"Carmen"
841;10/27/2004;"Piso";"Venta";"Girona";120;1061160;04/13/2005;"Luisa"
842;10/29/2004;"Suelo";"Venta";"Barcelona";109;942196;08/31/2005;"Joaquín"
843;10/30/2004;"Casa";"Venta";"Barcelona";175;1712725;03/12/2005;"Carmen"
844;10/30/2004;"Local";"Alquiler";"Tarragona";121;593021;02/28/2005;"Luisa"
845;10/31/2004;"Industrial";"Venta";"Tarragona";280;1485680;10/23/2005;"Luisa"
846;10/31/2004;"Suelo";"Alquiler";"Tarragona";246;2214984;09/22/2005;"Joaquín"
847;10/31/2004;"Piso";"Alquiler";"Girona";121;731929;06/27/2005;"Pedro"
848;10/31/2004;"Oficina";"Alquiler";"Tarragona";223;1566129;04/06/2005;"Jesús"
849;11/01/2004;"Casa";"Venta";"Tarragona";120;1003320;07/18/2005;"Carmen"
850;11/01/2004;"Piso";"Alquiler";"Girona";159;1391091;06/16/2005;"Carmen"
851;11/01/2004;"Casa";"Alquiler";"Girona";157;1032118;06/16/2005;"Luisa"
852;11/02/2004;"Casa";"Alquiler";"Girona";237;1768020;04/27/2005;"Luisa"
853;11/02/2004;"Piso";"Venta";"Tarragona";246;1708716;03/16/2005;"Jesús"
854;11/02/2004;"Piso";"Alquiler";"Lleida";299;2430272;03/26/2005;"Carmen"
855;11/03/2004;"Suelo";"Venta";"Girona";223;1650200;08/28/2005;"Carmen"
856;11/03/2004;"Industrial";"Venta";"Barcelona";247;995657;06/29/2005;"Jesús"
857;11/03/2004;"Industrial";"Venta";"Girona";238;2379048;09/08/2005;"María"
858;11/03/2004;"Oficina";"Alquiler";"Lleida";251;1821758;06/11/2005;"Luisa"
859;11/03/2004;"Suelo";"Venta";"Barcelona";65;397540;05/22/2005;"Joaquín"
860;11/03/2004;"Piso";"Venta";"Lleida";288;2242656;02/11/2005;"Jesús"
861;11/03/2004;"Piso";"Alquiler";"Girona";96;891456;07/28/2005;"Pedro"
862;11/04/2004;"Local";"Alquiler";"Barcelona";152;631560;10/28/2005;"Joaquín"
863;11/06/2004;"Oficina";"Alquiler";"Barcelona";246;2328636;03/10/2005;"Luisa"
864;11/06/2004;"Industrial";"Venta";"Girona";108;553608;02/04/2005;"Luisa"
865;11/06/2004;"Parking";"Alquiler";"Girona";110;523160;09/11/2005;"Joaquín"
866;11/07/2004;"Parking";"Venta";"Girona";136;1054544;09/18/2005;"María"
867;11/07/2004;"Suelo";"Venta";"Tarragona";82;418692;09/10/2005;"Luisa"
868;11/07/2004;"Suelo";"Venta";"Tarragona";127;912114;09/20/2005;"Joaquín"
869;11/07/2004;"Parking";"Alquiler";"Lleida";183;1082079;09/07/2005;"Carmen"
870;11/08/2004;"Industrial";"Venta";"Tarragona";245;1951180;04/06/2005;"Luisa"
871;11/08/2004;"Casa";"Alquiler";"Tarragona";88;726352;06/13/2005;"Joaquín"
872;11/09/2004;"Piso";"Alquiler";"Girona";185;1390460;08/29/2005;"Jesús"
873;11/09/2004;"Industrial";"Alquiler";"Lleida";295;2923155;05/06/2005;"Luisa"
874;11/09/2004;"Piso";"Venta";"Tarragona";80;458560;02/22/2005;"Pedro"
875;11/09/2004;"Oficina";"Alquiler";"Girona";147;1259202;05/03/2005;"Pedro"
876;11/09/2004;"Industrial";"Venta";"Tarragona";114;968658;06/29/2005;"María"
877;11/09/2004;"Oficina";"Alquiler";"Lleida";128;549120;03/16/2005;"Carmen"
878;11/10/2004;"Industrial";"Alquiler";"Barcelona";145;1372135;04/18/2005;"Pedro"
879;11/10/2004;"Oficina";"Venta";"Lleida";147;1070307;07/10/2005;"Pedro"
880;11/11/2004;"Parking";"Alquiler";"Lleida";272;1542784;06/24/2005;"Joaquín"
881;11/11/2004;"Casa";"Alquiler";"Lleida";113;645569;06/10/2005;"Carmen"
882;11/11/2004;"Local";"Venta";"Tarragona";220;970420;08/28/2005;"Luisa"
883;11/11/2004;"Piso";"Venta";"Girona";266;1370964;10/22/2005;"María"
884;11/11/2004;"Piso";"Venta";"Girona";125;590875;09/20/2005;"Carmen"
885;11/11/2004;"Casa";"Alquiler";"Lleida";151;719213;02/23/2005;"Jesús"
886;11/12/2004;"Piso";"Venta";"Girona";133;1191281;06/28/2005;"Joaquín"
887;11/13/2004;"Suelo";"Alquiler";"Barcelona";160;1356160;11/08/2005;"Luisa"
888;11/13/2004;"Oficina";"Alquiler";"Lleida";95;412395;07/31/2005;"María"
889;11/13/2004;"Oficina";"Alquiler";"Lleida";236;1420012;10/31/2005;"Pedro"
890;11/13/2004;"Oficina";"Venta";"Tarragona";165;1598520;10/11/2005;"Pedro"
891;11/13/2004;"Casa";"Venta";"Girona";255;2543625;08/29/2005;"Pedro"
892;11/14/2004;"Casa";"Alquiler";"Tarragona";226;2025638;05/04/2005;"María"
893;11/14/2004;"Casa";"Venta";"Tarragona";228;1115604;09/21/2005;"Pedro"
894;11/14/2004;"Parking";"Alquiler";"Lleida";92;610696;05/04/2005;"Jesús"
895;11/14/2004;"Industrial";"Alquiler";"Barcelona";229;1341024;09/12/2005;"Jesús"
896;11/14/2004;"Piso";"Alquiler";"Tarragona";226;1340632;09/24/2005;"Luisa"
897;11/15/2004;"Suelo";"Alquiler";"Lleida";64;581568;02/15/2005;"Carmen"
898;11/15/2004;"Casa";"Venta";"Barcelona";258;2449452;03/14/2005;"Jesús"
899;11/16/2004;"Local";"Venta";"Barcelona";58;315810;06/14/2005;"Jesús"
900;11/16/2004;"Casa";"Alquiler";"Barcelona";136;1072768;04/02/2005;"Pedro"
901;11/16/2004;"Parking";"Alquiler";"Girona";294;1653456;07/18/2005;"Pedro"
902;11/17/2004;"Oficina";"Alquiler";"Barcelona";294;2722146;11/05/2005;"Joaquín"
903;11/17/2004;"Suelo";"Alquiler";"Tarragona";151;1029367;05/05/2005;"Carmen"
904;11/17/2004;"Piso";"Venta";"Barcelona";62;455762;07/25/2005;"Pedro"
905;11/18/2004;"Local";"Alquiler";"Girona";116;479892;11/11/2005;"Joaquín"
906;11/18/2004;"Industrial";"Alquiler";"Tarragona";68;500140;10/27/2005;"Pedro"
907;11/18/2004;"Oficina";"Alquiler";"Barcelona";59;491706;07/03/2005;"Jesús"
908;11/18/2004;"Parking";"Venta";"Girona";134;933444;04/17/2005;"Pedro"
909;11/18/2004;"Industrial";"Venta";"Tarragona";127;1204595;04/15/2005;"Carmen"
910;11/19/2004;"Piso";"Alquiler";"Tarragona";197;1506853;11/16/2005;"Jesús"
911;11/20/2004;"Local";"Alquiler";"Barcelona";135;1036665;11/08/2005;"Pedro"
912;11/20/2004;"Suelo";"Alquiler";"Lleida";200;1967400;08/30/2005;"Pedro"
913;11/20/2004;"Suelo";"Alquiler";"Lleida";250;1676500;08/30/2005;"Pedro"
914;11/20/2004;"Piso";"Venta";"Girona";48;366480;09/19/2005;"Pedro"
915;11/20/2004;"Oficina";"Venta";"Girona";285;1869885;08/10/2005;"Jesús"
916;11/21/2004;"Piso";"Alquiler";"Lleida";155;1511095;08/20/2005;"María"
917;11/21/2004;"Parking";"Venta";"Tarragona";263;1719757;08/28/2005;"Pedro"
918;11/22/2004;"Industrial";"Alquiler";"Lleida";197;1662089;06/29/2005;"Carmen"
919;11/22/2004;"Casa";"Alquiler";"Lleida";270;1311660;10/11/2005;"María"
920;11/23/2004;"Industrial";"Venta";"Barcelona";137;1242042;08/08/2005;"Luisa"
921;11/24/2004;"Suelo";"Venta";"Tarragona";163;1273030;06/16/2005;"Luisa"
922;11/24/2004;"Oficina";"Venta";"Lleida";217;1238202;05/11/2005;"Joaquín"
923;11/24/2004;"Suelo";"Venta";"Tarragona";257;1440742;07/09/2005;"Carmen"
924;11/25/2004;"Parking";"Alquiler";"Girona";283;2213909;05/10/2005;"Luisa"
925;11/25/2004;"Parking";"Alquiler";"Lleida";298;2039512;10/11/2005;"Joaquín"
926;11/25/2004;"Suelo";"Alquiler";"Barcelona";298;2376550;10/19/2005;"Luisa"
927;11/25/2004;"Suelo";"Alquiler";"Barcelona";151;709700;03/16/2005;"Carmen"
928;11/26/2004;"Industrial";"Alquiler";"Barcelona";283;1615647;06/06/2005;"Joaquín"
929;11/27/2004;"Local";"Alquiler";"Tarragona";73;410260;10/29/2005;"Carmen"
930;11/27/2004;"Local";"Venta";"Tarragona";161;1604687;03/05/2005;"Luisa"
931;11/27/2004;"Suelo";"Venta";"Lleida";223;2053384;11/13/2005;"Carmen"
932;11/29/2004;"Parking";"Venta";"Lleida";121;754435;04/23/2005;"Joaquín"
933;11/29/2004;"Parking";"Alquiler";"Tarragona";150;795000;10/17/2005;"Luisa"
934;11/29/2004;"Casa";"Alquiler";"Girona";228;2212740;10/10/2005;"Jesús"
935;11/30/2004;"Oficina";"Alquiler";"Lleida";164;1373008;06/09/2005;"Pedro"
936;12/01/2004;"Parking";"Alquiler";"Girona";116;573040;11/01/2005;"María"
937;12/01/2004;"Industrial";"Alquiler";"Girona";276;1932552;10/20/2005;"María"
938;12/01/2004;"Local";"Venta";"Barcelona";158;766774;03/24/2005;"Pedro"
939;12/01/2004;"Industrial";"Alquiler";"Girona";216;1962360;05/17/2005;"Pedro"
940;12/02/2004;"Industrial";"Venta";"Barcelona";249;1662822;07/11/2005;"Luisa"
941;12/02/2004;"Industrial";"Venta";"Barcelona";68;614244;05/11/2005;"Jesús"
942;12/02/2004;"Industrial";"Alquiler";"Tarragona";177;1485915;04/29/2005;"Carmen"
943;12/03/2004;"Piso";"Venta";"Tarragona";268;1273000;06/16/2005;"Carmen"
944;12/03/2004;"Piso";"Alquiler";"Girona";66;558030;12/01/2005;"Carmen"
945;12/04/2004;"Piso";"Venta";"Tarragona";162;894888;03/26/2005;"Pedro"
946;12/04/2004;"Piso";"Venta";"Girona";243;1447551;09/13/2005;"Pedro"
947;12/04/2004;"Suelo";"Venta";"Lleida";103;474624;03/25/2005;"Carmen"
948;12/05/2004;"Piso";"Alquiler";"Girona";237;1725597;07/07/2005;"Pedro"
949;12/05/2004;"Parking";"Alquiler";"Barcelona";206;1241562;07/27/2005;"María"
950;12/05/2004;"Piso";"Venta";"Girona";233;2153852;03/11/2005;"Pedro"
951;12/06/2004;"Oficina";"Venta";"Barcelona";65;307255;10/11/2005;"Carmen"
952;12/07/2004;"Industrial";"Venta";"Barcelona";142;954808;06/18/2005;"María"
953;12/07/2004;"Casa";"Alquiler";"Girona";240;1510320;10/19/2005;"Carmen"
954;12/08/2004;"Parking";"Venta";"Lleida";68;330956;09/18/2005;"María"
955;12/09/2004;"Suelo";"Venta";"Girona";200;1938400;08/25/2005;"María"
956;12/09/2004;"Piso";"Venta";"Tarragona";80;509840;05/21/2005;"Carmen"
957;12/09/2004;"Casa";"Alquiler";"Tarragona";84;368760;07/30/2005;"Luisa"
958;12/10/2004;"Local";"Alquiler";"Tarragona";227;1071667;05/26/2005;"Carmen"
959;12/10/2004;"Parking";"Venta";"Tarragona";291;1872876;05/16/2005;"María"
960;12/10/2004;"Suelo";"Venta";"Girona";275;1732500;07/10/2005;"Joaquín"
961;12/10/2004;"Parking";"Alquiler";"Girona";96;535584;10/22/2005;"Carmen"
962;12/10/2004;"Oficina";"Alquiler";"Barcelona";174;1271592;07/13/2005;"Joaquín"
963;12/11/2004;"Local";"Venta";"Lleida";190;1593720;05/28/2005;"Pedro"
964;12/11/2004;"Suelo";"Venta";"Girona";185;1038590;07/15/2005;"Luisa"
965;12/11/2004;"Industrial";"Venta";"Girona";56;525616;08/15/2005;"Joaquín"
966;12/11/2004;"Piso";"Alquiler";"Lleida";213;1994532;04/22/2005;"María"
967;12/12/2004;"Piso";"Venta";"Girona";175;722925;03/18/2005;"Carmen"
968;12/12/2004;"Local";"Alquiler";"Lleida";96;769824;10/03/2005;"Jesús"
969;12/14/2004;"Piso";"Venta";"Lleida";272;2581552;10/22/2005;"Pedro"
970;12/14/2004;"Piso";"Alquiler";"Girona";232;1193408;06/07/2005;"Luisa"
971;12/14/2004;"Piso";"Venta";"Lleida";200;1145600;09/22/2005;"María"
972;12/14/2004;"Piso";"Venta";"Girona";219;1059303;07/27/2005;"Joaquín"
973;12/15/2004;"Casa";"Alquiler";"Lleida";126;600642;08/20/2005;"Jesús"
974;12/15/2004;"Parking";"Alquiler";"Lleida";131;920144;12/10/2005;"Jesús"
975;12/16/2004;"Suelo";"Venta";"Lleida";77;409563;07/30/2005;"Pedro"
976;12/16/2004;"Local";"Alquiler";"Barcelona";232;1236560;11/20/2005;"Pedro"
977;12/16/2004;"Suelo";"Alquiler";"Barcelona";199;1494490;04/04/2005;"Joaquín"
978;12/17/2004;"Casa";"Venta";"Tarragona";115;659295;10/09/2005;"María"
979;12/18/2004;"Casa";"Alquiler";"Barcelona";97;672792;05/23/2005;"Joaquín"
980;12/18/2004;"Suelo";"Venta";"Barcelona";122;589016;10/04/2005;"Joaquín"
981;12/18/2004;"Local";"Venta";"Girona";278;2273762;11/30/2005;"Pedro"
982;12/19/2004;"Casa";"Alquiler";"Barcelona";212;1588940;08/29/2005;"Carmen"
